Nomination Number,URL,Congress,Name,Organization,Description,Role,District/Location,Date Received From President,Committee,Latest Action Date,Latest Action,Vote Margin,Record Vote Number,,Length of Confirmation Proceedings,President,Majority,Deliniation,In Favor,Against,Margin
PN646,https://www.congress.gov/nomination/106th-congress/646,106th Congress (1999-2000),James D. Whittemore,The Judiciary,"James D. Whittemore, of Florida, ", United States District Judge , Middle District of Florida vice William Terrell Hodges,10/20/1999,Judiciary,5/24/2000,Confirmed by the Senate by Voice Vote,,,,217,1. Clinton,Republican,,,,0
PN597,https://www.congress.gov/nomination/106th-congress/597,106th Congress (1999-2000),Thomas L. Ambro,The Judiciary,"Thomas L. Ambro, of Delaware, ", United States Circuit Judge , Third Circuit,9/28/1999,Judiciary,2/10/2000,Confirmed by the Senate by Yea-Nay Vote, 96 - 2, Record Vote Number: 10,,135,1. Clinton,Republican,,96,2,94
PN596,https://www.congress.gov/nomination/106th-congress/596,106th Congress (1999-2000),Richard Linn,The Judiciary,"Richard Linn, of Virginia, ", United States Circuit Judge , Federal Circuit,9/28/1999,Judiciary,11/19/1999,Confirmed by the Senate by Voice Vote,,,,52,1. Clinton,Republican,,,,0
PN572,https://www.congress.gov/nomination/106th-congress/572,106th Congress (1999-2000),James M. Lyons,The Judiciary,"James M. Lyons, of Colorado, ", United States Circuit Judge , Tenth Circuit,9/22/1999,Judiciary,6/6/2000,Received message of withdrawal of nomination from the President,,,,258,1. Clinton,Republican,,,,0
PN571,https://www.congress.gov/nomination/106th-congress/571,106th Congress (1999-2000),Joel A. Pisano,The Judiciary,"Joel A. Pisano, of New Jersey, ", United States District Judge , District of New Jersey vice Maryanne Trump Barry,9/22/1999,Judiciary,2/10/2000,Confirmed by the Senate by Yea-Nay Vote, 95 - 2, Record Vote Number: 11,,141,1. Clinton,Republican,,95,2,93
PN499,https://www.congress.gov/nomination/106th-congress/499,106th Congress (1999-2000),George B. Daniels,The Judiciary,"George B. Daniels, of New York, ", United States District Judge , Southern District of New York,8/5/1999,Judiciary,2/24/2000,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 14,,203,1. Clinton,Republican,,98,0,98
PN489,https://www.congress.gov/nomination/106th-congress/489,106th Congress (1999-2000),Ann Claire Williams,The Judiciary,"Ann Claire Williams, of Illinois, ", United States Circuit Judge , Seventh Circuit,8/5/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,97,1. Clinton,Republican,,,,0
PN488,https://www.congress.gov/nomination/106th-congress/488,106th Congress (1999-2000),David M. Lawson,The Judiciary,"David M. Lawson, of Michigan, ", United States District Judge , Eastern District of Michigan vice Avern Cohn,8/5/1999,Judiciary,5/24/2000,Confirmed by the Senate by Voice Vote,,,,293,1. Clinton,Republican,,,,0
PN487,https://www.congress.gov/nomination/106th-congress/487,106th Congress (1999-2000),Ronald A. Guzman,The Judiciary,"Ronald A. Guzman, of Illinois, ", United States District Judge , Northern District of Illinois,8/5/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,97,1. Clinton,Republican,,,,0
PN485,https://www.congress.gov/nomination/106th-congress/485,106th Congress (1999-2000),Marianne O. Battani,The Judiciary,"Marianne O. Battani, of Michigan, ", United States District Judge , Eastern District of Michigan vice Anna Diggs Taylor,8/5/1999,Judiciary,5/24/2000,Confirmed by the Senate by Voice Vote,,,,293,1. Clinton,Republican,,,,0
PN473,https://www.congress.gov/nomination/106th-congress/473,106th Congress (1999-2000),Richard K. Eaton,The Judiciary,"Richard K. Eaton, of the District of Columbia, ", a Judge of the United States Court of International Trade,,8/3/1999,Judiciary,10/22/1999,Confirmed by the Senate by Voice Vote,,,,80,1. Clinton,Republican,,,,0
PN472,https://www.congress.gov/nomination/106th-congress/472,106th Congress (1999-2000),Gail S. Tusan,The Judiciary,"Gail S. Tusan, of Georgia, ", United States District Judge , Northern District of Georgia,8/3/1999,Judiciary,3/27/2000,Received message of withdrawal of nomination from the President,,,,237,1. Clinton,Republican,,,,0
PN456,https://www.congress.gov/nomination/106th-congress/456,106th Congress (1999-2000),Petrese B. Tucker,The Judiciary,"Petrese B. Tucker, of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania vice Thomas N. O'Neill,7/27/1999,Judiciary,5/24/2000,Confirmed by the Senate by Voice Vote,,,,302,1. Clinton,Republican,,,,0
PN455,https://www.congress.gov/nomination/106th-congress/455,106th Congress (1999-2000),Brian Theadore Stewart,The Judiciary,"Brian Theadore Stewart, of Utah, ", United States District Judge , District of Utah vice J. Thomas Greene,7/27/1999,Judiciary,10/5/1999,Confirmed by the Senate by Yea-Nay Vote, 93-5, Record Vote No: EX,308,70,1. Clinton,Republican,,93,5,88
PN430,https://www.congress.gov/nomination/106th-congress/430,106th Congress (1999-2000),Florence-Marie Cooper,The Judiciary,"Florence-Marie Cooper, of California, ", United States District Judge , Central District of California vice Linda H. McLaughlin,7/14/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,119,1. Clinton,Republican,,,,0
PN429,https://www.congress.gov/nomination/106th-congress/429,106th Congress (1999-2000),Charles A. Pannell Jr.,The Judiciary,"Charles A. Pannell, Jr., of Georgia, ", United States District Judge , Northern District of Georgia vice Frank M. Hull,7/14/1999,Judiciary,10/15/1999,Confirmed by the Senate by Voice Vote,,,,93,1. Clinton,Republican,,,,0
PN428,https://www.congress.gov/nomination/106th-congress/428,106th Congress (1999-2000),James J. Brady,The Judiciary,"James J. Brady, of Louisiana, ", United States District Judge , Middle District of Louisiana vice John V. Parker,7/14/1999,Judiciary,5/24/2000,Confirmed by the Senate by Yea-Nay Vote, 83 - 16, Record Vote Number: 111,,315,1. Clinton,Republican,,83,16,67
PN364,https://www.congress.gov/nomination/106th-congress/364,106th Congress (1999-2000),Maryanne Trump Barry,The Judiciary,"Maryanne Trump Barry, of New Jersey, ", United States Circuit Judge , Third Circuit,6/17/1999,Judiciary,9/13/1999,Confirmed by the Senate by Voice Vote,,,,88,1. Clinton,Republican,,,,0
PN326,https://www.congress.gov/nomination/106th-congress/326,106th Congress (1999-2000),Victor Marrero,The Judiciary,"Victor Marrero, of New York, ", United States District Judge , Southern District of New York vice Sonia Sotomayor,5/27/1999,Judiciary,10/1/1999,Confirmed by the Senate by Voice Vote,,,,127,1. Clinton,Republican,,,,0
PN325,https://www.congress.gov/nomination/106th-congress/325,106th Congress (1999-2000),William Joseph Haynes Jr.,The Judiciary,"William Joseph Haynes, Jr., of Tennessee, ", United States District Judge , Middle District of Tennessee vice Thomas A. Higgins,5/27/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,167,1. Clinton,Republican,,,,0
PN322,https://www.congress.gov/nomination/106th-congress/322,106th Congress (1999-2000),Charles R. Wilson,The Judiciary,"Charles R. Wilson, of Florida, ", United States Circuit Judge , Eleventh Circuit,5/27/1999,Judiciary,7/30/1999,Confirmed by the Senate by Voice Vote,,,,64,1. Clinton,Republican,,,,0
PN241,https://www.congress.gov/nomination/106th-congress/241,106th Congress (1999-2000),Faith S. Hochberg,The Judiciary,"Faith S. Hochberg, of New Jersey, ", United States District Judge , District of New Jersey,4/22/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,202,1. Clinton,Republican,,,,0
PN240,https://www.congress.gov/nomination/106th-congress/240,106th Congress (1999-2000),Anna J. Brown,The Judiciary,"Anna J. Brown, of Oregon, ", United States District Judge , District of Oregon,4/22/1999,Judiciary,10/15/1999,Confirmed by the Senate by Voice Vote,,,,176,1. Clinton,Republican,,,,0
PN239,https://www.congress.gov/nomination/106th-congress/239,106th Congress (1999-2000),Kermit Bye,The Judiciary,"Kermit Bye, of North Dakota, ", United States Circuit Judge , Eighth Circuit,4/22/1999,Judiciary,2/24/2000,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 13,,308,1. Clinton,Republican,,98,0,98
PN181,https://www.congress.gov/nomination/106th-congress/181,106th Congress (1999-2000),Barbara M. Lynn,The Judiciary,"Barbara M. Lynn, of Texas, ", United States District Judge , Northern District of Texas,3/25/1999,Judiciary,11/17/1999,Confirmed by the Senate by Voice Vote,,,,237,1. Clinton,Republican,,,,0
PN180,https://www.congress.gov/nomination/106th-congress/180,106th Congress (1999-2000),Ellen Segal Huvelle,The Judiciary,"Ellen Segal Huvelle, of the District of Columbia, ", United States District Judge , District of Columbia vice John Garrett Penn,3/25/1999,Judiciary,10/15/1999,Confirmed by the Senate by Voice Vote,,,,204,1. Clinton,Republican,,,,0
PN175,https://www.congress.gov/nomination/106th-congress/175,106th Congress (1999-2000),Marsha J. Pechman,The Judiciary,"Marsha J. Pechman, of Washington, ", United States District Judge , Western District of Washington,3/24/1999,Judiciary,9/8/1999,Confirmed by the Senate by Yea-Nay Vote, 93-1, Record Vote No: EX,263,168,1. Clinton,Republican,,93,1,92
PN174,https://www.congress.gov/nomination/106th-congress/174,106th Congress (1999-2000),Carlos Murguia,The Judiciary,"Carlos Murguia, of Kansas, ", United States District Judge , District of Kansas,3/24/1999,Judiciary,9/8/1999,Confirmed by the Senate by Voice Vote,,,,168,1. Clinton,Republican,,,,0
PN172,https://www.congress.gov/nomination/106th-congress/172,106th Congress (1999-2000),William Haskell Alsup,The Judiciary,"William Haskell Alsup, of California, ", United States District Judge , Northern District of California,3/24/1999,Judiciary,7/30/1999,Confirmed by the Senate by Voice Vote,,,,128,1. Clinton,Republican,,,,0
PN148,https://www.congress.gov/nomination/106th-congress/148,106th Congress (1999-2000),Adalberto Jose Jordan,The Judiciary,"Adalberto Jose Jordan, of Florida, ", United States District Judge , Southern District of Florida,3/15/1999,Judiciary,9/8/1999,Confirmed by the Senate by Yea-Nay Vote, 93-1, Record Vote No: EX,262,177,1. Clinton,Republican,,93,1,92
PN147,https://www.congress.gov/nomination/106th-congress/147,106th Congress (1999-2000),Raymond C. Fisher,The Judiciary,"Raymond C. Fisher, of California, ", United States Circuit Judge , Ninth Circuit,3/15/1999,Judiciary,10/5/1999,Confirmed by the Senate by Yea-Nay Vote, 69-29, Record Vote No: EX,309,204,1. Clinton,Republican,,69,29,40
PN130,https://www.congress.gov/nomination/106th-congress/130,106th Congress (1999-2000),Karen E. Schreier,The Judiciary,"Karen E. Schreier, of South Dakota, ", United States District Judge , District of South Dakota vice Richard H. Battey,3/8/1999,Judiciary,6/30/1999,Confirmed by the Senate by Yea-Nay Vote, 94-4, Record Vote No: EX,190,114,1. Clinton,Republican,,94,4,90
PN129,https://www.congress.gov/nomination/106th-congress/129,106th Congress (1999-2000),W. Allen Pepper Jr.,The Judiciary,"W. Allen Pepper, Jr., of Mississippi, ", United States District Judge , Northern District of Mississippi vice L. T. Senter,3/8/1999,Judiciary,6/30/1999,Confirmed by the Senate by Yea-Nay Vote, 94-4, Record Vote No: EX,190,114,1. Clinton,Republican,,94,4,90
PN128,https://www.congress.gov/nomination/106th-congress/128,106th Congress (1999-2000),M. James Lorenz,The Judiciary,"M. James Lorenz, of California, ", United States District Judge , Southern District of California vice Rudi M. Brewster,3/8/1999,Judiciary,10/1/1999,Confirmed by the Senate by Voice Vote,,,,207,1. Clinton,Republican,,,,0
PN126,https://www.congress.gov/nomination/106th-congress/126,106th Congress (1999-2000),Julio M. Fuentes,The Judiciary,"Julio M. Fuentes, of New Jersey, ", United States Circuit Judge , Third Circuit,3/8/1999,Judiciary,3/7/2000,Confirmed by the Senate by Yea-Nay Vote, 93 - 0, Record Vote Number: 34,,365,1. Clinton,Republican,,93,0,93
PN105,https://www.congress.gov/nomination/106th-congress/105,106th Congress (1999-2000),Naomi Reice Buchwald,The Judiciary,"Naomi Reice Buchwald, of New York, ", United States District Judge , Southern District of New York,2/12/1999,Judiciary,9/13/1999,Confirmed by the Senate by Voice Vote,,,,213,1. Clinton,Republican,,,,0
PN104,https://www.congress.gov/nomination/106th-congress/104,106th Congress (1999-2000),David N. Hurd,The Judiciary,"David N. Hurd, of New York, ", United States District Judge , Northern District of New York vice Con. G. Cholakis,2/12/1999,Judiciary,9/13/1999,Confirmed by the Senate by Voice Vote,,,,213,1. Clinton,Republican,,,,0
PN49,https://www.congress.gov/nomination/106th-congress/49,106th Congress (1999-2000),Ronnie L. White,The Judiciary,"Ronnie L. White, of Missouri, ", United States District Judge , Eastern District of Missouri,1/26/1999,Judiciary,10/5/1999,Resolution of disapproval forwarded to the President,,,,252,1. Clinton,Republican,,,,0
PN47,https://www.congress.gov/nomination/106th-congress/47,106th Congress (1999-2000),T. John Ward,The Judiciary,"T. John Ward, of Texas, ", United States District Judge , Eastern District of Texas,1/26/1999,Judiciary,7/13/1999,Confirmed by the Senate by Voice Vote,,,,168,1. Clinton,Republican,,,,0
PN46,https://www.congress.gov/nomination/106th-congress/46,106th Congress (1999-2000),Stefan R. Underhill,The Judiciary,"Stefan R. Underhill, of Connecticut, ", United States District Judge , District of Connecticut,1/26/1999,Judiciary,6/30/1999,Confirmed by the Senate by Yea-Nay Vote, 94-4, Record Vote No: EX,190,155,1. Clinton,Republican,,94,4,90
PN45,https://www.congress.gov/nomination/106th-congress/45,106th Congress (1999-2000),Virginia A. Phillips,The Judiciary,"Virginia A. Phillips, of California, ", United States District Judge , Central District of California,1/26/1999,Judiciary,11/10/1999,Confirmed by the Senate by Voice Vote,,,,288,1. Clinton,Republican,,,,0
PN44,https://www.congress.gov/nomination/106th-congress/44,106th Congress (1999-2000),Richard A. Paez,The Judiciary,"Richard A. Paez, of California, ", United States Circuit Judge , Ninth Circuit,1/26/1999,Judiciary,3/9/2000,Confirmed by the Senate by Yea-Nay Vote, 59 - 39, Record Vote Number: 40,,408,1. Clinton,Republican,,59,39,20
PN42,https://www.congress.gov/nomination/106th-congress/42,106th Congress (1999-2000),Matthew F. Kennelly,The Judiciary,"Matthew F. Kennelly, of Illinois, ", United States District Judge , Northern District of Illinois,1/26/1999,Judiciary,4/15/1999,Confirmed by the Senate by Voice Vote,,,,79,1. Clinton,Republican,,,,0
PN41,https://www.congress.gov/nomination/106th-congress/41,106th Congress (1999-2000),William J. Hibbler,The Judiciary,"William J. Hibbler, of Illinois, ", United States District Judge , Northern District of Illinois,1/26/1999,Judiciary,4/15/1999,Confirmed by the Senate by Voice Vote,,,,79,1. Clinton,Republican,,,,0
PN40,https://www.congress.gov/nomination/106th-congress/40,106th Congress (1999-2000),Ronald M. Gould,The Judiciary,"Ronald M. Gould, of Washington, ", United States Circuit Judge , Ninth Circuit,1/26/1999,Judiciary,11/17/1999,Confirmed by the Senate by Voice Vote,,,,295,1. Clinton,Republican,,,,0
PN38,https://www.congress.gov/nomination/106th-congress/38,106th Congress (1999-2000),Gary Allen Feess,The Judiciary,"Gary Allen Feess, of California, ", United States District Judge , Central District of California,1/26/1999,Judiciary,6/30/1999,Confirmed by the Senate by Yea-Nay Vote, 94-4, Record Vote No: EX,190,155,1. Clinton,Republican,,94,4,90
PN37,https://www.congress.gov/nomination/106th-congress/37,106th Congress (1999-2000),Keith P. Ellison,The Judiciary,"Keith P. Ellison, of Texas, ", United States District Judge , Southern District of Texas,1/26/1999,Judiciary,6/30/1999,Confirmed by the Senate by Yea-Nay Vote, 94-4, Record Vote No: EX,190,155,1. Clinton,Republican,,94,4,90
PN36,https://www.congress.gov/nomination/106th-congress/36,106th Congress (1999-2000),Timothy B. Dyk,The Judiciary,"Timothy B. Dyk, of the District of Columbia, ", United States Circuit Judge , Federal Circuit,1/26/1999,Judiciary,5/24/2000,Confirmed by the Senate by Yea-Nay Vote, 74 - 25, Record Vote Number: 109,,484,1. Clinton,Republican,,74,25,49
PN33,https://www.congress.gov/nomination/106th-congress/33,106th Congress (1999-2000),Marsha L. Berzon,The Judiciary,"Marsha L. Berzon, of California, ", United States Circuit Judge , Ninth Circuit,1/26/1999,Judiciary,3/9/2000,Confirmed by the Senate by Yea-Nay Vote, 64 - 34, Record Vote Number: 38,,408,1. Clinton,Republican,,64,34,30
PN1449,https://www.congress.gov/nomination/105th-congress/1449,105th Congress (1997-1998),Norman A. Mordue,The Judiciary,"Norman A. Mordue, of New York, ", United States District Judge , Northern District of New York vice Rosemary S. Pooler,10/5/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,16,1. Clinton,Republican,Break,,,0
PN1426,https://www.congress.gov/nomination/105th-congress/1426,105th Congress (1997-1998),Emily Clark Hewitt,The Judiciary,"Emily Clark Hewitt, of Massachusetts, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,9/28/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,23,1. Clinton,Republican,,,,0
PN1425,https://www.congress.gov/nomination/105th-congress/1425,105th Congress (1997-1998),Nancy B. Firestone,The Judiciary,"Nancy B. Firestone, of Virginia, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,9/28/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,23,1. Clinton,Republican,,,,0
PN1424,https://www.congress.gov/nomination/105th-congress/1424,105th Congress (1997-1998),Edward J. Damich,The Judiciary,"Edward J. Damich, of Virginia, ", a Judge of the United States Court of Federal Claims for term of fifteen years,,9/28/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,23,1. Clinton,Republican,,,,0
PN1423,https://www.congress.gov/nomination/105th-congress/1423,105th Congress (1997-1998),Alex R. Munson,The Judiciary,"Alex R. Munson, of the Northern Mariana Islands, ", Judge , District Court ,9/28/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,23,1. Clinton,Republican,,,,0
PN1404,https://www.congress.gov/nomination/105th-congress/1404,105th Congress (1997-1998),Aleta A. Trauger,The Judiciary,"Aleta A. Trauger, of Tennessee, ", United States District Judge , Middle District of Tennessee vice John T. Nixon,9/22/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,29,1. Clinton,Republican,,,,0
PN1364,https://www.congress.gov/nomination/105th-congress/1364,105th Congress (1997-1998),Margaret B. Seymour,The Judiciary,"Margaret B. Seymour, of South Carolina, ", United States District Judge , District of South Carolina,9/9/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,42,1. Clinton,Republican,,,,0
PN1339,https://www.congress.gov/nomination/105th-congress/1339,105th Congress (1997-1998),Inge Prytz Johnson,The Judiciary,"Inge Prytz Johnson, of Alabama, ", United States District Judge , Northern District of Alabama vice James H. Hancock,8/31/1998,Judiciary,10/8/1998,Confirmed by the Senate by Voice Vote,,,,38,1. Clinton,Republican,,,,0
PN1338,https://www.congress.gov/nomination/105th-congress/1338,105th Congress (1997-1998),H. Dean Buttram Jr.,The Judiciary,"H. Dean Buttram, Jr., of Alabama, ", United States District Judge , Northern District of Alabama vice Robert B. Propst,8/31/1998,Judiciary,10/8/1998,Confirmed by the Senate by Voice Vote,,,,38,1. Clinton,Republican,,,,0
PN1315,https://www.congress.gov/nomination/105th-congress/1315,105th Congress (1997-1998),Francis M. Allegra,The Judiciary,"Francis M. Allegra, of Virginia, ", Judge of the United States Court of Federal Claims for a term of fifteen years,,7/30/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,83,1. Clinton,Republican,,,,0
PN1253,https://www.congress.gov/nomination/105th-congress/1253,105th Congress (1997-1998),William B. Traxler Jr.,The Judiciary,"William B. Traxler, Jr., of South Carolina, ", United States Circuit Judge , Fourth Circuit,7/10/1998,Judiciary,9/28/1998,Confirmed by the Senate by Voice Vote,,,,80,1. Clinton,Republican,,,,0
PN1214,https://www.congress.gov/nomination/105th-congress/1214,105th Congress (1997-1998),David O. Carter,The Judiciary,"David O. Carter, of California, ", United States District Judge , Central District of California,6/25/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,118,1. Clinton,Republican,,,,0
PN1211,https://www.congress.gov/nomination/105th-congress/1211,105th Congress (1997-1998),Robert Bruce King,The Judiciary,"Robert Bruce King, of West Virginia, ", United States Circuit Judge , Fourth Circuit,6/24/1998,Judiciary,10/8/1998,Confirmed by the Senate by Voice Vote,,,,106,1. Clinton,Republican,,,,0
PN1206,https://www.congress.gov/nomination/105th-congress/1206,105th Congress (1997-1998),Lynn Jeanne Bush,The Judiciary,"Lynn Jeanne Bush, of the District of Columbia, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,6/22/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,121,1. Clinton,Republican,,,,0
PN1142,https://www.congress.gov/nomination/105th-congress/1142,105th Congress (1997-1998),Thomas J. Whelan,The Judiciary,"Thomas J. Whelan, of California, ", United States District Judge , Southern District of California vice John S. Rhoades,6/4/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,139,1. Clinton,Republican,,,,0
PN1141,https://www.congress.gov/nomination/105th-congress/1141,105th Congress (1997-1998),James M. Munley,The Judiciary,"James M. Munley, of Pennsylvania, ", United States District Judge , Middle District of Pennsylvania vice William W. Caldwell,6/4/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,139,1. Clinton,Republican,,,,0
PN1140,https://www.congress.gov/nomination/105th-congress/1140,105th Congress (1997-1998),Yvette Kane,The Judiciary,"Yvette Kane, of Pennsylvania, ", United States District Judge , Middle District of Pennsylvania,6/4/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,139,1. Clinton,Republican,,,,0
PN1139,https://www.congress.gov/nomination/105th-congress/1139,105th Congress (1997-1998),Patricia A. Seitz,The Judiciary,"Patricia A. Seitz, of Florida, ", United States District Judge , Southern District of Florida vice Stanley Marcus,5/22/1998,Judiciary,9/28/1998,Confirmed by the Senate by Voice Vote,,,,129,1. Clinton,Republican,,,,0
PN1138,https://www.congress.gov/nomination/105th-congress/1138,105th Congress (1997-1998),Gerald Bruce Lee,The Judiciary,"Gerald Bruce Lee, of Virginia, ", United States District Judge , Eastern District of Virginia vice James C. Cacheris,5/22/1998,Judiciary,9/28/1998,Confirmed by the Senate by Voice Vote,,,,129,1. Clinton,Republican,,,,0
PN1115,https://www.congress.gov/nomination/105th-congress/1115,105th Congress (1997-1998),William H. Pauley III,The Judiciary,"William H. Pauley III, of New York, ", United States District Judge , Southern District of New York vice Peter K. Leisure,5/21/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,153,1. Clinton,Republican,,,,0
PN1114,https://www.congress.gov/nomination/105th-congress/1114,105th Congress (1997-1998),Colleen McMahon,The Judiciary,"Colleen McMahon, of New York, ", United States District Judge , Southern District of New York vice John F. Keenan,5/21/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,153,1. Clinton,Republican,,,,0
PN1113,https://www.congress.gov/nomination/105th-congress/1113,105th Congress (1997-1998),Donovan W. Frank,The Judiciary,"Donovan W. Frank, of Minnesota, ", United States District Judge , District of Minnesota vice David S. Doty,5/21/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,153,1. Clinton,Republican,,,,0
PN1112,https://www.congress.gov/nomination/105th-congress/1112,105th Congress (1997-1998),Richard M. Berman,The Judiciary,"Richard M. Berman, of New York, ", United States District Judge , Southern District of New York vice Kevin Thomas Duffy,5/21/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,153,1. Clinton,Republican,,,,0
PN1111,https://www.congress.gov/nomination/105th-congress/1111,105th Congress (1997-1998),Carl J. Barbier,The Judiciary,"Carl J. Barbier, of Louisiana, ", United States District Judge , Eastern District of Louisiana,5/19/1998,Judiciary,9/28/1998,Confirmed by the Senate by Voice Vote,,,,132,1. Clinton,Republican,,,,0
PN1105,https://www.congress.gov/nomination/105th-congress/1105,105th Congress (1997-1998),Alvin K. Hellerstein,The Judiciary,"Alvin K. Hellerstein, of New York, ", United States District Judge , Southern District of New York vice Louis L. Stanton,5/15/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,159,1. Clinton,Republican,,,,0
PN1085,https://www.congress.gov/nomination/105th-congress/1085,105th Congress (1997-1998),Robert S. Lasnik,The Judiciary,"Robert S. Lasnik, of Washington, ", United States District Judge , Western District of Washington vice Carolyn R. Dimmick,5/11/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,163,1. Clinton,Republican,,,,0
PN1084,https://www.congress.gov/nomination/105th-congress/1084,105th Congress (1997-1998),Raner Christercunean Collins,The Judiciary,"Raner Christercunean Collins, of Arizona, ", United States District Judge , District of Arizona,5/11/1998,Judiciary,7/31/1998,Confirmed by the Senate by Voice Vote,,,,81,1. Clinton,Republican,,,,0
PN1054,https://www.congress.gov/nomination/105th-congress/1054,105th Congress (1997-1998),David R. Herndon,The Judiciary,"David R. Herndon, of Illinois, ", United States District Judge , Southern District of Illinois vice William L. Beatty,4/23/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,181,1. Clinton,Republican,,,,0
PN1023,https://www.congress.gov/nomination/105th-congress/1023,105th Congress (1997-1998),Jeanne E. Scott,The Judiciary,"Jeanne E. Scott, of Illinois, ", United States District Judge , Central District of Illinois,4/2/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,202,1. Clinton,Republican,,,,0
PN1011,https://www.congress.gov/nomination/105th-congress/1011,105th Congress (1997-1998),Ralph E. Tyson,The Judiciary,"Ralph E. Tyson, of Louisiana, ", United States District Judge , Middle District of Louisiana,4/2/1998,Judiciary,7/31/1998,Confirmed by the Senate by Voice Vote,,,,120,1. Clinton,Republican,,,,0
PN1000,https://www.congress.gov/nomination/105th-congress/1000,105th Congress (1997-1998),Nora M. Manella,The Judiciary,"Nora M. Manella, of California, ", United States District Judge , Central District of California vice Mariana R. Pfaelzer,3/31/1998,Judiciary,10/21/1998,Confirmed by the Senate by Voice Vote,,,,204,1. Clinton,Republican,,,,0
PN922,https://www.congress.gov/nomination/105th-congress/922,105th Congress (1997-1998),Chester J. Straub,The Judiciary,"Chester J. Straub, of New York,", United States Circuit Judge , Second Circuit,2/11/1998,Judiciary,6/1/1998,Confirmed by the Senate by Voice Vote,,,,110,1. Clinton,Republican,,,,0
PN838,https://www.congress.gov/nomination/105th-congress/838,105th Congress (1997-1998),Gregory Moneta Sleet,The Judiciary,"Gregory Moneta Sleet, of Delaware, ", United States District Judge , District of Delaware,1/27/1998,Judiciary,4/27/1998,Confirmed by the Senate by Voice Vote,,,,90,1. Clinton,Republican,,,,0
PN837,https://www.congress.gov/nomination/105th-congress/837,105th Congress (1997-1998),Richard W. Roberts,The Judiciary,"Richard W. Roberts, of the District of Columbia, ", United States District Judge , District of Columbia vice Charles R. Richey,1/27/1998,Judiciary,6/5/1998,Confirmed by the Senate by Voice Vote,,,,129,1. Clinton,Republican,,,,0
PN836,https://www.congress.gov/nomination/105th-congress/836,105th Congress (1997-1998),Johnnie B. Rawlinson,The Judiciary,"Johnnie B. Rawlinson, of Nevada, ", United States District Judge , District of Nevada vice Lloyd D. George,1/27/1998,Judiciary,4/2/1998,Confirmed by the Senate by Voice Vote,,,,65,1. Clinton,Republican,,,,0
PN835,https://www.congress.gov/nomination/105th-congress/835,105th Congress (1997-1998),Stephan P. Mickle,The Judiciary,"Stephan P. Mickle, of Florida, ", United States District Judge , Northern District of Florida vice Maurice M. Paul,1/27/1998,Judiciary,5/14/1998,Confirmed by the Senate by Voice Vote,,,,107,1. Clinton,Republican,,,,0
PN833,https://www.congress.gov/nomination/105th-congress/833,105th Congress (1997-1998),Robert G. James,The Judiciary,"Robert G. James, of Louisiana, ", United States District Judge , Western District of Louisiana,1/27/1998,Judiciary,7/31/1998,Confirmed by the Senate by Voice Vote,,,,185,1. Clinton,Republican,,,,0
